qS1,qS2B,qS2,x,y,z,t,set_label
12.96973,664.23724,2695.0051,371.98514,-269.75073,448.14707995545393,2021-03-21 02:47:05.557239964+00:00,run0_set5
35.279488,894.8838,3206.4604,226.29422,-309.4767,-178.13526087008586,2021-03-21 04:01:14.146182164+00:00,run0_set5
104.4243,1217.9882,4795.718,61.157345,90.83571,373.98400771174363,2021-03-21 04:29:31.153238220+00:00,run0_set5
115.55705,1827.846,5739.507,-82.58632,10.960646,293.4751284292711,2021-03-21 04:50:19.207204600+00:00,run0_set5
26.27369,982.8766,3374.4421,-238.45308,287.93896,-384.2377647918189,2021-03-21 08:38:25.369736516+00:00,run0_set5
92.683174,1629.5647,5692.414,250.02644,-19.9319,-378.00547845142444,2021-03-21 09:58:38.005788900+00:00,run0_set5
17.939026,531.701,2030.5914,-279.60947,109.20109,401.2062711803518,2021-03-21 12:22:20.290512800+00:00,run0_set5
3.5049412,234.88235,1055.5312,-134.04771,210.73172,310.1626710893437,2021-03-21 15:26:21.118670056+00:00,run0_set5
16.133253,787.5304,2876.8018,152.09818,255.6014,-105.65797099713802,2021-03-21 17:57:15.841646908+00:00,run0_set5
86.820335,1610.4418,5482.2427,93.91046,269.6984,5.8250308349997795,2021-03-21 21:47:54.417513507+00:00,run0_set5
3.8617053,385.3242,1517.4401,160.41533,-400.24237,84.59704343244442,2021-03-21 22:50:10.120212900+00:00,run0_set5
5.063255,288.88797,1311.6786,-214.92638,129.12943,502.93216898777376,2021-03-21 23:38:11.102782788+00:00,run0_set5
3.4329195,407.4838,1425.5519,155.18985,73.67926,409.2719167993869,2021-03-22 01:13:59.398205880+00:00,run0_set5
126.95709,1942.8531,6852.8945,-478.52884,-126.78214,-415.961123950712,2021-03-22 02:49:33.559276132+00:00,run0_set5
3.3316352,68.28938,205.8974,-231.2818,-244.25226,-236.28623860901223,2021-03-22 05:05:34.736793236+00:00,run0_set5
33.238308,928.15,3387.5112,239.87486,7.941886,383.79219605072507,2021-03-22 05:31:14.737972512+00:00,run0_set5
31.474005,744.89655,2903.6912,288.4606,97.47328,490.41651199271934,2021-03-22 07:27:56.003401624+00:00,run0_set5
122.116684,1835.5602,5715.653,-64.94554,182.6109,-532.2574033936462,2021-03-22 07:45:28.695318856+00:00,run0_set5
12.459837,379.7038,1265.4813,142.9093,-201.40584,388.264911566418,2021-03-22 09:04:37.321656008+00:00,run0_set5
4.238118,421.50797,1621.2582,-174.96046,262.12344,356.7061574201583,2021-03-22 11:53:00.666416092+00:00,run0_set5
107.77512,1452.4672,5194.434,-287.36606,358.6957,-367.40264522386815,2021-03-22 12:59:19.920716924+00:00,run0_set5
2.0424762,493.01996,1775.5938,-9.956519,297.35544,-152.7463566801183,2021-03-22 16:52:41.187640236+00:00,run0_set5
39.648373,943.0748,3754.3213,-189.19652,-166.11362,386.15342657677616,2021-03-22 17:27:33.175483816+00:00,run0_set5
91.63039,1982.8278,7221.625,85.52719,379.19562,299.89472392197246,2021-03-22 23:19:01.962186640+00:00,run0_set5
80.4491,1376.8593,4945.2085,-491.028,-4.144778,-186.81391826030733,2021-03-23 00:13:33.351394580+00:00,run0_set5
41.753407,1111.0143,3768.308,169.4922,-233.28465,-471.65437856997437,2021-03-23 00:35:58.113640252+00:00,run0_set5
38.883873,860.5374,2998.364,-230.1536,392.66904,-327.99961082039067,2021-03-23 01:58:51.165365432+00:00,run0_set5
25.450888,755.87714,2947.3137,-434.5197,167.81197,-280.1052281789987,2021-03-23 04:16:19.618660708+00:00,run0_set5
67.678024,1071.2473,3961.3542,-242.29628,-30.002565,282.95743572549065,2021-03-23 07:09:39.450739764+00:00,run0_set5
7.376807,332.47443,1255.8004,257.64294,-43.95424,150.41066831119997,2021-03-23 16:23:35.211750516+00:00,run0_set5
133.03891,2197.5698,7396.205,57.72029,360.7043,-410.8981008035063,2021-03-23 17:38:35.348661900+00:00,run0_set5
76.14904,1267.3344,5017.0156,402.4386,-229.04713,445.97883461662815,2021-03-23 18:17:11.837569896+00:00,run0_set5
33.474487,1132.7736,3874.6765,-157.11125,482.24768,47.9979702786527,2021-03-23 20:46:54.702717944+00:00,run0_set5
6.4774194,471.86166,1873.6152,503.65796,-39.677708,338.57122585589576,2021-03-23 22:16:45.289436500+00:00,run0_set5
14.946734,568.4809,2114.168,34.144573,-296.65408,-92.41010549761097,2021-03-23 23:03:53.298965864+00:00,run0_set5
31.81799,782.44055,2628.1516,404.60254,181.69055,62.670520542695954,2021-03-24 01:15:29.091498292+00:00,run0_set5
62.164623,1495.7218,5273.1953,-15.284226,480.5041,42.16300638254563,2021-03-24 05:08:54.427381032+00:00,run0_set5
40.021664,707.0487,2808.2378,-91.882774,255.67583,435.6881833095834,2021-03-24 06:10:15.157709516+00:00,run0_set5
56.541183,1262.1608,4501.7036,313.0311,106.75853,-268.7474823072963,2021-03-24 08:05:54.612801096+00:00,run0_set5
33.002842,937.7954,3366.5964,-185.40933,-324.72287,175.73713611706523,2021-03-24 11:29:11.020544196+00:00,run0_set5
18.595413,674.6586,2749.2637,265.30573,-379.98093,252.30117113125533,2021-03-24 12:27:45.325253415+00:00,run0_set5
38.23989,576.2259,2297.4253,-44.95833,-458.61646,303.0222191620065,2021-03-24 16:11:55.516310240+00:00,run0_set5
16.722582,747.36206,2542.7996,39.716976,-372.89474,-534.7321546180651,2021-03-24 16:56:16.562679692+00:00,run0_set5
24.52968,988.58527,3397.1487,173.83427,200.20332,-64.48401369912222,2021-03-24 17:25:40.289725124+00:00,run0_set5
33.70304,968.6154,3405.9612,309.9591,-39.688854,-18.519482929983496,2021-03-24 17:39:09.965554048+00:00,run0_set5
91.06266,1467.2466,5172.642,257.05402,88.11447,27.77993389934022,2021-03-24 17:43:21.861768124+00:00,run0_set5
128.95604,2125.4038,7332.041,-233.01836,0.9368178,-83.36250583769413,2021-03-24 18:58:44.521830004+00:00,run0_set5
76.212975,1287.3031,4572.342,56.745926,-339.84677,214.334173562131,2021-03-25 01:04:45.542757076+00:00,run0_set5
2.7102942,212.9616,739.1931,35.198475,-121.53337,-131.54636625992407,2021-03-25 01:18:01.175320564+00:00,run0_set5
11.446769,540.2178,2059.2646,-359.54886,-83.40424,160.2302087200182,2021-03-25 04:35:52.165965900+00:00,run0_set5
33.37938,1030.426,3504.0261,282.4964,-137.53548,-546.8107569244034,2021-03-25 09:10:36.975897700+00:00,run0_set5
29.137901,732.3674,2709.8972,62.73951,-141.06317,-189.02757187848033,2021-03-25 17:52:28.763873036+00:00,run0_set5
5.5395722,433.39902,1717.3767,272.57928,-59.440784,-285.87775569100336,2021-03-25 22:24:19.940070836+00:00,run0_set5
6.957421,734.3321,2955.028,196.11966,14.186676,337.7765809673209,2021-03-25 23:05:22.039804220+00:00,run0_set5
29.622665,896.56464,3310.5874,-148.43542,-131.2069,-25.586146403381576,2021-03-25 23:16:57.476382872+00:00,run0_set5
63.220222,1188.969,4217.5054,-54.41187,-194.84378,-536.0660228238874,2021-03-26 01:13:51.788195096+00:00,run0_set5
23.548918,840.4973,2946.2217,78.82013,-359.81662,-467.0227340765666,2021-03-26 06:22:34.289865892+00:00,run0_set5
111.02887,1926.782,6506.5386,253.67953,145.4585,-460.25122441892495,2021-03-26 06:28:32.368456964+00:00,run0_set5
69.85784,1133.5762,4149.6587,-141.422,-161.99481,255.7351722568825,2021-03-26 10:22:24.526145192+00:00,run0_set5
66.08948,1278.997,4305.277,467.29666,105.39127,-178.43609072076072,2021-03-27 15:06:22.636473748+00:00,run0_set5
24.0171,779.5489,3198.79,107.421104,-414.25015,348.390766264714,2021-03-27 16:11:48.812116812+00:00,run0_set5
2.09704,260.87817,1026.9753,144.44736,-434.24106,-120.77325198481594,2021-03-27 16:29:19.881995164+00:00,run0_set5
115.68365,1809.9706,6547.531,-461.40753,28.495611,469.3754505502401,2021-03-27 23:55:17.582196616+00:00,run0_set5
9.742868,406.1582,1493.6716,365.4376,-156.27533,-444.2618340538145,2021-03-28 00:51:48.619047548+00:00,run0_set5
3.7656627,299.65295,1173.65,311.0407,-268.6781,-136.52424888335406,2021-03-28 02:04:16.109236712+00:00,run0_set5
22.779129,836.4237,2897.356,358.71564,231.6654,394.85478810667115,2021-03-28 03:31:29.284138692+00:00,run0_set5
117.43409,2290.6887,7802.207,42.047646,-381.1034,-460.7336873869883,2021-03-28 06:10:51.458397188+00:00,run0_set5
124.983246,2255.6125,7742.9233,-352.01404,250.90611,-234.69127279694408,2021-03-28 06:49:35.045559116+00:00,run0_set5
2.0215952,323.76004,1145.9685,93.681114,-422.88998,-508.12290292064336,2021-03-28 12:24:30.765581412+00:00,run0_set5
101.17793,1822.6289,6136.38,316.00113,-132.89966,-181.91550012573498,2021-03-28 18:50:39.214386632+00:00,run0_set5
42.141495,719.1576,2683.0786,145.85742,-49.78197,-153.45018500999902,2021-03-28 21:15:33.313928820+00:00,run0_set5
96.93525,2119.2363,7225.346,137.5062,440.14297,433.6221065992887,2021-03-28 22:55:56.921342200+00:00,run0_set5
65.57959,1018.81946,3837.2722,-168.56624,460.69962,-154.78405321582113,2021-03-28 23:33:54.303111972+00:00,run0_set5
24.65337,790.12994,2927.6143,-32.012806,-289.16525,201.01251960866495,2021-03-29 00:51:58.932804348+00:00,run0_set5
50.86511,1048.0153,3932.7537,-257.42,144.19371,348.38509022979554,2021-03-29 05:42:50.032569792+00:00,run0_set5
6.834477,523.84406,1777.6757,-295.92203,25.823296,-286.68375264941506,2021-03-29 08:07:43.151759972+00:00,run0_set5
99.82164,1733.1875,5799.8916,16.93002,-353.34308,-240.40136392484646,2021-03-29 09:02:53.956138648+00:00,run0_set5
112.05749,1457.3522,5186.0225,26.996408,-271.1569,300.0025685854219,2021-03-29 10:23:08.639230008+00:00,run0_set5
63.49303,1214.4238,4484.81,177.4086,-128.8062,203.57808739177818,2021-03-29 13:28:34.091657172+00:00,run0_set5
45.96033,960.198,3581.3926,280.3811,-166.43375,245.41614077524576,2021-03-29 13:39:38.445423328+00:00,run0_set5
84.69349,1407.8798,4771.438,276.31158,-274.6583,107.99933540097476,2021-03-29 14:11:28.924112028+00:00,run0_set5
13.097443,521.4048,1963.0127,-364.83313,5.717166,186.7145876492354,2021-03-29 14:22:11.438926180+00:00,run0_set5
10.287157,523.0709,1823.1947,-422.38904,-209.54266,-465.8194146738674,2021-03-29 19:36:04.395928440+00:00,run0_set5
2.8850846,506.23312,1803.1847,350.5311,-244.51628,-190.89498736663109,2021-03-29 20:14:59.870535032+00:00,run0_set5
56.478962,1020.84283,2966.9648,430.36212,125.37014,43.57633907722527,2021-03-29 20:49:03.235398780+00:00,run0_set5
80.8037,1278.0204,4264.0215,-142.03922,-258.78265,-531.5081667844186,2021-03-29 22:39:34.080644472+00:00,run0_set5
